id,listing_url,host_id,host_since,latitude,longitude,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,price
6730758,https://www.airbnb.com/rooms/6730758,207475,2010-08-20,42.31451961008171,-71.10558689277725,Jamaica Plain,Apartment,Private room,4,1.0,1.0,2.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,2,46,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1,3.03,100.0
6248970,https://www.airbnb.com/rooms/6248970,32449720,2015-05-02,42.321719666668685,-71.10345881692874,,Apartment,Private room,1,1.0,1.0,1.0,{},,3,68,96.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,1,4.29,65.0
12806707,https://www.airbnb.com/rooms/12806707,4263511,2012-11-27,42.31679060385281,-71.11563042909579,Jamaica Plain,House,Private room,1,1.0,1.0,1.0,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,Essentials,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,2,0,,,,,,,,f,flexible,1,,60.0
14246616,https://www.airbnb.com/rooms/14246616,5055078,2013-02-11,42.31951000434093,-71.10537660326158,Jamaica Plain,Apartment,Private room,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,Iron}",,2,3,73.0,9.0,5.0,10.0,10.0,9.0,9.0,f,flexible,1,2.73,63.0
3703674,https://www.airbnb.com/rooms/3703674,9350281,2013-10-10,42.3152745679209,-71.11331605532412,Jamaica Plain,Townhouse,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,1,4,100.0,9.0,10.0,10.0,9.0,10.0,9.0,f,flexible,1,0.62,75.0
4792901,https://www.airbnb.com/rooms/4792901,24701232,2014-12-10,42.315499530265065,-71.11706562488624,Jamaica Plain,House,Private room,2,1.0,1.0,1.0,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",,1,2,90.0,9.0,9.0,9.0,9.0,10.0,9.0,f,strict,1,0.16,65.0
5717528,https://www.airbnb.com/rooms/5717528,7394101,2013-07-10,42.31690480739987,-71.10519470648515,Jamaica Plain,Apartment,Private room,1,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",Essentials}",,1,7,94.0,10.0,10.0,10.0,9.0,9.0,9.0,f,strict,1,0.48,110.0
5601743,https://www.airbnb.com/rooms/5601743,19280995,2014-08-01,42.31189728557806,-71.10315398376997,Jamaica Plain,House,Private room,2,1.0,1.0,1.0,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,2,18,82.0,8.0,7.0,9.0,9.0,9.0,8.0,t,strict,4,1.46,46.0
13333862,https://www.airbnb.com/rooms/13333862,5215706,2013-02-24,42.31706413362148,-71.10358571999897,Jamaica Plain,Apartment,Private room,3,1.0,1.0,1.0,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",,2,0,,,,,,,,f,strict,2,,75.0
519272,https://www.airbnb.com/rooms/519272,2444900,2012-05-23,42.30510762836565,-71.1064329714123,Jamaica Plain,Apartment,Private room,2,1.5,1.0,1.0,"{Internet,""Wireless Internet"",""Air Conditioning"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",1700.0,3,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,0.31,62.0
14090779,https://www.airbnb.com/rooms/14090779,6104362,2013-04-26,42.315907278454304,-71.11327327945847,Jamaica Plain,Condominium,Private room,2,1.5,1.0,1.0,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Essentials,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,2,0,,,,,,,,f,flexible,2,,69.0
8481291,https://www.airbnb.com/rooms/8481291,8167936,2013-08-14,42.31265281789585,-71.0997233961363,Jamaica Plain,Apartment,Private room,2,1.0,1.0,1.0,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,2,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,0.36,69.0
6990904,https://www.airbnb.com/rooms/6990904,16337422,2015-06-23,42.315300707630975,-71.09976783089705,Jamaica Plain,House,Private room,2,2.0,1.0,1.0,"{Internet,""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",,1,19,99.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,2,1.35,73.0
197727,https://www.airbnb.com/rooms/197727,964356,2011-08-13,42.3131970326139,-71.11832362091809,Jamaica Plain,Apartment,Private room,1,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Hair Dryer"",Iron}",,2,22,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,1,0.36,85.0
932853,https://www.airbnb.com/rooms/932853,5028116,2013-02-09,42.31421511820314,-71.10940661048757,Jamaica Plain,Apartment,Private room,2,2.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_50""}",,1,17,96.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict,4,0.41,120.0
11159585,https://www.airbnb.com/rooms/11159585,57514323,2016-02-05,42.31256675906354,-71.12607998917959,Jamaica Plain,House,Private room,2,3.5,1.0,2.0,"{""Cable TV"",""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",""Lock on Bedroom Door"",""24-Hour Check-in""}",,2,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.21,125.0
9677354,https://www.airbnb.com/rooms/9677354,391664,2011-02-14,42.316784624886786,-71.10731719179363,Jamaica Plain,Apartment,Private room,1,1.0,1.0,1.0,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",,1,7,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,flexible,1,1.35,70.0
13426831,https://www.airbnb.com/rooms/13426831,17401715,2014-06-29,42.31362611091293,-71.10819524530064,Jamaica Plain,Condominium,Private room,2,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,1,0,,,,,,,,f,flexible,1,,100.0
7956634,https://www.airbnb.com/rooms/7956634,8154081,2013-08-14,42.30370464676229,-71.11397057117235,Jamaica Plain,Condominium,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49""}",,1,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,0.78,61.0
568234,https://www.airbnb.com/rooms/568234,2796082,2012-07-01,42.30334665895726,-71.10497371588909,Jamaica Plain,House,Private room,4,1.0,1.0,2.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,1,132,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,2,2.61,125.0
1030500,https://www.airbnb.com/rooms/1030500,5670669,2013-03-28,42.29106052288582,-71.11593555432006,Jamaica Plain,Apartment,Private room,2,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,Shampoo}",,1,14,88.0,9.0,9.0,10.0,10.0,8.0,9.0,f,flexible,1,0.35,100.0
13652374,https://www.airbnb.com/rooms/13652374,27860683,2015-02-16,42.29763812447256,-71.11399252456933,Jamaica Plain,Apartment,Private room,1,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Essentials,""Lock on Bedroom Door"",""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,1,0,,,,,,,,f,flexible,1,,27.0
